order,color
Alismatales,#b3e0b5
Asparagales,#b3e0b5
Liliales,#b3e0b5
Zingiberales,#67c47e
Ranunculales,#fff64f
Saxifragales,#fccce8
Celastrales,#f9a8d8
Malpighiales,#f9a8d8
Fabales,#f9a8d8
Rosales,#f9a8d8
Geraniales,#f573c0
Myrtales,#f573c0
Malvales,#f573c0
Sapindales,#f573c0
Brassicales,#f573c0
Caryophyllales,#feecdb
Cornales,#fbd7b5
Ericales,#fbd7b5
Gentianales,#f8b177
Boraginales,#f8b177
Lamiales,#f8b177
Solanales,#f8b177
Asterales,#f48f43
Apiales,#f48f43
Dipsacales,#f48f43
Monocots,#41b668
Commelinids,#67c47e
Eudicots,#c0e24d
Core_Eudicots,#cde86e
Superrosids,#f461b8
Rosids,#f461b8
Fabids,#f9a8d8
Malvids,#f573c0
Pentapetalae,#cbc6e4
Superasterids,#f3893a
Asterids,#f3893a
Lamiids,#f8b177
Campanulids,#f48f43
Early,#cceffc
